Clasificación_D,Nombre de Institución,Measure Names,Measure Values
(a) Universidades Estatales CRUCH,U. DE LOS LAGOS,Mts2 de Inmuebles/ Matrícula Total,7.475529661
(a) Universidades Estatales CRUCH,U. DE LA SERENA,Mts2 de Inmuebles/ Matrícula Total,13.955744431
(a) Universidades Estatales CRUCH,U. DE LA FRONTERA,Mts2 de Inmuebles/ Matrícula Total,9.337464080
(a) Universidades Estatales CRUCH,U. DE CHILE,Mts2 de Inmuebles/ Matrícula Total,17.243411559
(a) Universidades Estatales CRUCH,U. DE AYSEN,Mts2 de Inmuebles/ Matrícula Total,7.609137056
(a) Universidades Estatales CRUCH,U. DE ATACAMA,Mts2 de Inmuebles/ Matrícula Total,12.922116091
(a) Universidades Estatales CRUCH,U. DE ANTOFAGASTA,Mts2 de Inmuebles/ Matrícula Total,10.566984446
(a) Universidades Estatales CRUCH,U. ARTURO PRAT,Mts2 de Inmuebles/ Matrícula Total,6.903993274
(a) Universidades Estatales CRUCH,U. TECNOLÓGICA METROPOLITANA,Mts2 de Salas / Matrícula Total,0.978106756
(a) Universidades Estatales CRUCH,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,Mts2 de Salas / Matrícula Total,1.292749658
(a) Universidades Estatales CRUCH,U. DEL BÍO-BÍO,Mts2 de Salas / Matrícula Total,
(a) Universidades Estatales CRUCH,U. DE VALPARAÍSO,Mts2 de Salas / Matrícula Total,1.008700870
(a) Universidades Estatales CRUCH,U. DE TARAPACÁ,Mts2 de Salas / Matrícula Total,1.823269048
(a) Universidades Estatales CRUCH,U. DE TALCA,Mts2 de Salas / Matrícula Total,1.786501495
(a) Universidades Estatales CRUCH,U. DE SANTIAGO DE CHILE,Mts2 de Salas / Matrícula Total,1.106133944
(a) Universidades Estatales CRUCH,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,Mts2 de Salas / Matrícula Total,0.918963845
(a) Universidades Estatales CRUCH,U. DE O HIGGINS,Mts2 de Salas / Matrícula Total,1.497892836
(a) Universidades Estatales CRUCH,U. DE MAGALLANES,Mts2 de Salas / Matrícula Total,1.377950713
(a) Universidades Estatales CRUCH,U. DE LOS LAGOS,Mts2 de Salas / Matrícula Total,0.982944915
