,Institución,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año,region
0,Bioforest SA,2,2,100,0,1.0,2015,Región del Biobío
1,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,1,2,100,0,0.5,2015,Región del Biobío
2,Forestal Mininco SA,2,2,50,50,1.0,2015,Región del Biobío
3,Hospital Las Higueras,6,8,80,20,0.8,2015,Región del Biobío
4,Hospital Regional de Concepción,6,7,50,50,0.9,2015,Región del Biobío
5,Inst Forestal INFOR,1,1,0,100,1.0,2015,Región del Biobío
6,Inst Invest Pesquera INPESCA,1,1,100,0,1.0,2015,Región del Biobío
7,MELISA Inst,2,4,75,25,0.5,2015,Región del Biobío
8,Pontificia Universidad Católica de Chile,2,2,0,100,1.0,2015,Región del Biobío
9,SEPADE,1,1,100,0,1.0,2015,Región del Biobío
10,SUMIRCO,1,1,100,0,1.0,2015,Región del Biobío
11,Universidad Austral de Chile,2,2,0,100,1.0,2015,Región del Biobío
12,Universidad Católica de la Santísima Concepción,83,74,59,41,1.1,2015,Región del Biobío
13,Universidad Central de Chile,1,1,0,100,1.0,2015,Región del Biobío
14,Universidad de Chile,8,10,60,40,0.8,2015,Región del Biobío
15,Universidad de Concepción,984,1190,66,34,0.8,2015,Región del Biobío
16,Universidad de Talca,1,2,100,0,0.5,2015,Región del Biobío
17,Universidad del Bío Bío,108,111,78,22,1.0,2015,Región del Biobío
18,Universidad del Desarrollo,31,44,74,26,0.7,2015,Región del Biobío
19,Universidad Metropolitana de Ciencias de la Educación,1,1,100,0,1.0,2015,Región del Biobío
20,Universidad Nacional Andrés Bello,16,13,62,38,1.2,2015,Región del Biobío
21,Universidad San Sebastián,59,44,59,41,1.3,2015,Región del Biobío
22,Universidad Santo Tomás,15,17,71,29,0.9,2015,Región del Biobío
23,Centro de Desarrollo Urbano Sustentable,1,2,50,50,0.5,2015,Región del Biobío
24,Centro de Investigacion de Polimeros Avanzados,14,9,63,38,1.6,2015,Región del Biobío
25,Centro de Optica y Fotonica,2,2,100,0,1.0,2015,Región del Biobío
26,Centro Nacional de Investigacion para la Gestion Integrada de Desastres Naturales,1,3,67,33,0.3,2015,Región del Biobío
27,Centro de Ciencia del Clima y la Resiliencia,4,3,0,100,1.3,2015,Región del Biobío
28,Comision Nacional de Investigacion Cientifica y Tecnologica,2,1,100,0,2.0,2015,Región del Biobío
29,Gobernacion Maritima de Talcahuano,1,1,100,0,1.0,2015,Región del Biobío
30,Consorcio Genómica Forestal,1,1,100,0,1.0,2015,Región del Biobío
31,Observatorio Europeo Austral,2,2,100,0,1.0,2015,Región del Biobío
32,Museo Historia Natural de Concepción,2,1,100,0,2.0,2015,Región del Biobío
33,Servicio de Salud de Concepción,1,1,0,100,1.0,2015,Región del Biobío
34,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,54,23,82,18,2.3,2015,Región del Biobío
35,Instituto Milenio de Oceanografía,3,5,100,0,0.6,2015,Región del Biobío
36,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,1,100,0,1.0,2015,Región del Biobío
37,Núcleo Milenio Óptica Avanzada,2,2,100,0,1.0,2015,Región del Biobío
0,Asociación Chilena de Seguridad,2,1,100,0,2.0,2015,Región de Ñuble
1,Hospital Clínico Herminda Martin,1,2,0,0,0.5,2015,Región de Ñuble
2,Instituto de Investigaciones Agropecuarias,2,2,50,50,1.0,2015,Región de Ñuble
3,Universidad Adventista de Chile,1,1,100,0,1.0,2015,Región de Ñuble
4,Universidad de Concepción,63,89,65,35,0.7,2015,Región de Ñuble
5,Universidad del Bío Bío,74,92,69,31,0.8,2015,Región de Ñuble
6,Universidad Pedro de Valdivia,1,1,100,0,1.0,2015,Región de Ñuble
7,Instituto de Investigaciones Agropecuarias,16,22,68,32,0.7,2015,Región de Ñuble
0,Hospital Clínico FUSAT,2,1,0,100,2.0,2016,Región del Libertador General Bernardo O'Higgins
1,Centro de Estudios Avanzados en Fruticultura,3,4,67,33,0.8,2016,Región del Libertador General Bernardo O'Higgins
2,Instituto de Investigaciones Agropecuarias,5,6,67,33,0.8,2016,Región del Libertador General Bernardo O'Higgins
3,Universidad de O`Higgins,1,1,100,0,1.0,2016,Región del Libertador General Bernardo O'Higgins
0,Gobierno Chile,1,1,100,0,1.0,2016,Región del Maule
1,Hospital Regional de Talca,7,7,50,50,1.0,2016,Región del Maule
2,Servicio Agrícola y Ganadero,1,1,100,0,1.0,2016,Región del Maule
3,Universidad Autónoma de Chile,47,19,83,17,2.5,2016,Región del Maule
4,Universidad Católica del Maule,67,86,67,33,0.8,2016,Región del Maule
5,Universidad de Santiago de Chile,2,2,50,50,1.0,2016,Región del Maule
6,Universidad de Talca,340,310,75,25,1.1,2016,Región del Maule
7,Universidad Santo Tomás,10,12,42,58,0.8,2016,Región del Maule
8,Centro de Estudios Avanzados en Fruticultura,3,3,100,0,1.0,2016,Región del Maule
9,Comision Nacional de Investigacion Cientifica y Tecnologica,4,7,71,29,0.6,2016,Región del Maule
10,Domicilio Particular Privado,1,1,100,0,1.0,2016,Región del Maule
11,Centro de Estudios en Alimentos Procesados,3,6,67,33,0.5,2016,Región del Maule
12,Nucleo Milenio Ecología Molecular y Aplicaciones Evolutivas en Agroecosistemas,3,3,67,33,1.0,2016,Región del Maule
0,Bioforest SA,7,5,80,20,1.4,2016,Región del Biobío
1,Clínica Alemana,3,2,100,0,1.5,2016,Región del Biobío
2,Clínica Sanatorio Alemán,2,3,33,67,0.7,2016,Región del Biobío
3,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,1,1,0,100,1.0,2016,Región del Biobío
4,Hospital Guillermo Grant Benavente,4,6,67,33,0.7,2016,Región del Biobío
5,Hospital Las Higueras,4,7,60,40,0.6,2016,Región del Biobío
6,Hospital Regional de Concepción,5,11,56,44,0.5,2016,Región del Biobío
7,Inst Fomento Pesquero IFOP,1,1,100,0,1.0,2016,Región del Biobío
8,Inst Forestal INFOR,1,1,100,0,1.0,2016,Región del Biobío
9,Inst Invest Pesquera INPESCA,2,2,50,50,1.0,2016,Región del Biobío
10,Pontificia Universidad Católica de Chile,2,1,100,0,2.0,2016,Región del Biobío
11,Pontificia Universidad Católica de Valparaíso,1,1,100,0,1.0,2016,Región del Biobío
12,Universidad Católica de la Santísima Concepción,105,89,67,33,1.2,2016,Región del Biobío
13,Universidad de Chile,1,1,100,0,1.0,2016,Región del Biobío
14,Universidad de Concepción,1066,1328,66,34,0.8,2016,Región del Biobío
15,Universidad de las Américas,1,1,100,0,1.0,2016,Región del Biobío
16,Universidad del Bío Bío,135,136,75,25,1.0,2016,Región del Biobío
17,Universidad del Desarrollo,31,29,71,29,1.1,2016,Región del Biobío
18,Universidad Nacional Andrés Bello,16,9,56,44,1.8,2016,Región del Biobío
19,Universidad San Sebastián,60,48,67,33,1.3,2016,Región del Biobío
20,Universidad Santo Tomás,16,17,76,24,0.9,2016,Región del Biobío
21,Universidad Técnica Federico Santa María,1,3,100,0,0.3,2016,Región del Biobío
22,Astilleros y Maestranza de La Armada,1,1,100,0,1.0,2016,Región del Biobío
23,Centro de Investigacion de Polimeros Avanzados,19,13,58,42,1.5,2016,Región del Biobío
24,Centro de Optica y Fotonica,1,7,100,0,0.1,2016,Región del Biobío
25,Centro de Recursos Hidricos para la Agricultura y la Mineria,4,6,100,0,0.7,2016,Región del Biobío
26,Centro de Ciencia del Clima y la Resiliencia,1,1,0,100,1.0,2016,Región del Biobío
27,Comision Nacional de Investigacion Cientifica y Tecnologica,2,6,83,17,0.3,2016,Región del Biobío
28,Instituto de Ecologia y Biodiversidad,1,2,100,0,0.5,2016,Región del Biobío
29,SEREMI SALUD,1,1,100,0,1.0,2016,Región del Biobío
30,Museo Historia Natural de Concepción,1,1,100,0,1.0,2016,Región del Biobío
31,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,24,19,67,33,1.3,2016,Región del Biobío
32,Instituto Milenio de Oceanografía,6,12,58,42,0.5,2016,Región del Biobío
0,Corp Nacl Forestal,1,1,0,100,1.0,2016,Región de Ñuble
1,Hospital Clínico Herminda Martin,1,1,100,0,1.0,2016,Región de Ñuble
2,Instituto de Investigaciones Agropecuarias,5,6,83,17,0.8,2016,Región de Ñuble
3,Universidad Adventista de Chile,5,4,75,25,1.3,2016,Región de Ñuble
4,Universidad de Concepción,65,110,61,39,0.6,2016,Región de Ñuble
5,Universidad de Magallanes,2,2,50,50,1.0,2016,Región de Ñuble
6,Universidad del Bío Bío,88,79,62,38,1.1,2016,Región de Ñuble
7,Centro de Recursos Hidricos para la Agricultura y la Mineria,1,2,100,0,0.5,2016,Región de Ñuble
8,Instituto de Investigaciones Agropecuarias,19,21,76,24,0.9,2016,Región de Ñuble
0,Corp Nacl Cobre,2,4,75,25,0.5,2017,Región del Libertador General Bernardo O'Higgins
1,Hospital Regional de Rancagua,1,2,0,0,0.5,2017,Región del Libertador General Bernardo O'Higgins
2,Centro de Estudios Avanzados en Fruticultura,7,5,100,0,1.4,2017,Región del Libertador General Bernardo O'Higgins
3,Servicio Nacional de Pesca y Acuicultura,1,1,100,0,1.0,2017,Región del Libertador General Bernardo O'Higgins
4,Universidad de O`Higgins,16,12,91,9,1.3,2017,Región del Libertador General Bernardo O'Higgins
0,Hospital Regional de Talca,5,5,60,40,1.0,2017,Región del Maule
1,Hospital San Juan de Dios,1,1,0,100,1.0,2017,Región del Maule
2,Instituto de Investigaciones Agropecuarias,1,1,0,100,1.0,2017,Región del Maule
3,Servicio Agrícola y Ganadero,1,1,0,100,1.0,2017,Región del Maule
4,Universidad Autónoma de Chile,70,33,75,25,2.1,2017,Región del Maule
5,Universidad Católica del Maule,93,103,62,38,0.9,2017,Región del Maule
6,Universidad de Talca,392,404,70,30,1.0,2017,Región del Maule
7,Universidad Santo Tomás,14,20,47,53,0.7,2017,Región del Maule
8,Centro de Estudios Avanzados en Fruticultura,3,7,86,14,0.4,2017,Región del Maule
9,Comision Nacional de Investigacion Cientifica y Tecnologica,2,2,100,0,1.0,2017,Región del Maule
10,Instituto de Investigaciones Agropecuarias,1,1,100,0,1.0,2017,Región del Maule
11,Núcleo Milenio Centro para el Impacto Socioeconómico de las Políticas Ambientales,1,2,50,50,0.5,2017,Región del Maule
12,Servicio de Salud del Maule,4,5,20,80,0.8,2017,Región del Maule
13,Centro de Estudios en Alimentos Procesados,4,3,100,0,1.3,2017,Región del Maule
0,Bioforest SA,6,7,100,0,0.9,2017,Región del Biobío
1,Clínica Alemana,11,18,81,19,0.6,2017,Región del Biobío
2,Forestal Mininco SA,4,3,67,33,1.3,2017,Región del Biobío
3,Hospital Guillermo Grant Benavente,4,6,80,20,0.7,2017,Región del Biobío
4,Hospital Las Higueras,3,5,100,0,0.6,2017,Región del Biobío
5,Hospital Regional de Concepción,9,22,67,33,0.4,2017,Región del Biobío
6,Inst Fomento Pesquero IFOP,1,1,100,0,1.0,2017,Región del Biobío
7,Inst Forestal INFOR,1,1,100,0,1.0,2017,Región del Biobío
8,Inst Invest Pesquera INPESCA,2,4,75,25,0.5,2017,Región del Biobío
9,Museo Nacl Hist Nat,1,1,100,0,1.0,2017,Región del Biobío
10,Pontificia Universidad Católica de Valparaíso,1,1,100,0,1.0,2017,Región del Biobío
11,Universidad Católica de la Santísima Concepción,124,117,61,39,1.1,2017,Región del Biobío
12,Universidad de Concepción,1040,1340,64,36,0.8,2017,Región del Biobío
13,Universidad de las Américas,1,1,0,100,1.0,2017,Región del Biobío
14,Universidad de los Andes,1,1,100,0,1.0,2017,Región del Biobío
15,Universidad del Bío Bío,132,144,77,23,0.9,2017,Región del Biobío
16,Universidad del Desarrollo,39,53,53,47,0.7,2017,Región del Biobío
17,Universidad Nacional Andrés Bello,29,30,62,38,1.0,2017,Región del Biobío
18,Universidad San Sebastián,66,64,51,49,1.0,2017,Región del Biobío
19,Universidad Santo Tomás,12,17,63,38,0.7,2017,Región del Biobío
20,Centro de Investigacion de Polimeros Avanzados,16,11,55,45,1.5,2017,Región del Biobío
21,Centro de Investigacion en Ecosistemas de la Patagonia,1,1,0,100,1.0,2017,Región del Biobío
22,Centro de Recursos Hidricos para la Agricultura y la Mineria,1,2,50,50,0.5,2017,Región del Biobío
23,Centro de Ciencia del Clima y la Resiliencia,1,3,0,100,0.3,2017,Región del Biobío
24,Hospital Naval Almirante Adriazola,1,1,100,0,1.0,2017,Región del Biobío
25,Instituto de Ecologia y Biodiversidad,2,2,100,0,1.0,2017,Región del Biobío
26,Instituto Forestal,1,2,0,0,0.5,2017,Región del Biobío
27,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,32,58,72,28,0.6,2017,Región del Biobío
28,Núcleo Milenio de Salmónidos Invasores,2,3,50,50,0.7,2017,Región del Biobío
29,Núcleo Milenio el Ciclo Sísmico a lo largo de Zonas de Subducción,2,1,0,0,2.0,2017,Región del Biobío
30,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,1,100,0,1.0,2017,Región del Biobío
0,Hospital Clínico Herminda Martin,4,8,63,38,0.5,2017,Región de Ñuble
1,Instituto de Investigaciones Agropecuarias,5,6,100,0,0.8,2017,Región de Ñuble
2,Servicio Agrícola y Ganadero,1,1,100,0,1.0,2017,Región de Ñuble
3,Universidad Adventista de Chile,14,7,83,17,2.0,2017,Región de Ñuble
4,Universidad de Concepción,76,126,67,33,0.6,2017,Región de Ñuble
5,Universidad de Magallanes,1,2,100,0,0.5,2017,Región de Ñuble
6,Universidad del Bío Bío,92,123,59,41,0.7,2017,Región de Ñuble
7,Instituto de Investigaciones Agropecuarias,12,17,81,19,0.7,2017,Región de Ñuble
0,Hospital Regional de Rancagua,2,2,0,100,1.0,2018,Región del Libertador General Bernardo O'Higgins
1,Centro de Estudios Avanzados en Fruticultura,5,11,75,25,0.5,2018,Región del Libertador General Bernardo O'Higgins
2,Instituto de Investigaciones Agropecuarias,1,1,100,0,1.0,2018,Región del Libertador General Bernardo O'Higgins
3,Universidad de O`Higgins,36,29,79,21,1.2,2018,Región del Libertador General Bernardo O'Higgins
0,Hospital Regional de Talca,9,14,64,36,0.6,2018,Región del Maule
1,Universidad Autónoma de Chile,105,46,81,19,2.3,2018,Región del Maule
2,Universidad Católica del Maule,132,154,69,31,0.9,2018,Región del Maule
3,Universidad de Talca,369,420,76,24,0.9,2018,Región del Maule
4,Universidad Santo Tomás,6,6,50,50,1.0,2018,Región del Maule
5,Instituto de Investigaciones Agropecuarias,1,1,0,100,1.0,2018,Región del Maule
6,Núcleo Milenio de Enfermedades asociadas a Canales Iónicos,1,1,0,100,1.0,2018,Región del Maule
7,Centro de Estudios en Alimentos Procesados,2,2,100,0,1.0,2018,Región del Maule
0,Bioforest SA,7,8,75,25,0.9,2018,Región del Biobío
1,Clínica Alemana,3,3,33,67,1.0,2018,Región del Biobío
2,Clínica Sanatorio Alemán,4,6,80,20,0.7,2018,Región del Biobío
3,Forestal Mininco SA,1,1,100,0,1.0,2018,Región del Biobío
4,Hospital Guillermo Grant Benavente,4,7,86,14,0.6,2018,Región del Biobío
5,Hospital Las Higueras,5,3,67,33,1.7,2018,Región del Biobío
6,Hospital Regional de Concepción,6,14,82,18,0.4,2018,Región del Biobío
7,Inst Forestal INFOR,2,4,100,0,0.5,2018,Región del Biobío
8,Universidad Católica de la Santísima Concepción,186,149,71,29,1.2,2018,Región del Biobío
9,Universidad de Concepción,1161,1463,66,34,0.8,2018,Región del Biobío
10,Universidad de las Américas,1,1,100,0,1.0,2018,Región del Biobío
11,Universidad del Bío Bío,182,208,75,25,0.9,2018,Región del Biobío
12,Universidad del Desarrollo,66,80,60,40,0.8,2018,Región del Biobío
13,Universidad Nacional Andrés Bello,27,32,57,43,0.8,2018,Región del Biobío
14,Universidad San Sebastián,73,50,61,39,1.5,2018,Región del Biobío
15,Universidad Santo Tomás,9,8,88,13,1.1,2018,Región del Biobío
16,Universidad Técnica Federico Santa María,2,4,100,0,0.5,2018,Región del Biobío
17,Astilleros y Maestranza de La Armada,1,2,100,0,0.5,2018,Región del Biobío
18,Centro de Investigacion de Polimeros Avanzados,12,8,50,50,1.5,2018,Región del Biobío
19,Centro de Recursos Hidricos para la Agricultura y la Mineria,2,4,75,25,0.5,2018,Región del Biobío
20,Centro de Ciencia del Clima y la Resiliencia,1,1,0,100,1.0,2018,Región del Biobío
21,Instituto de Ecologia y Biodiversidad,2,2,100,0,1.0,2018,Región del Biobío
22,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,19,31,74,26,0.6,2018,Región del Biobío
23,Instituto Milenio de Investigación sobre los Fundamentos de los Datos,1,1,0,100,1.0,2018,Región del Biobío
24,Instituto Milenio de Oceanografía,8,10,80,20,0.8,2018,Región del Biobío
25,Núcleo Milenio de Salmónidos Invasores,26,20,79,21,1.3,2018,Región del Biobío
26,Núcleo Milenio el Ciclo Sísmico a lo largo de Zonas de Subducción,12,3,100,0,4.0,2018,Región del Biobío
27,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,2,100,0,0.5,2018,Región del Biobío
0,Corp Nacl Forestal,1,1,0,100,1.0,2018,Región de Ñuble
1,Hospital Clínico Herminda Martin,1,3,0,100,0.3,2018,Región de Ñuble
2,Instituto de Investigaciones Agropecuarias,8,8,75,25,1.0,2018,Región de Ñuble
3,Servicio Agrícola y Ganadero,2,2,100,0,1.0,2018,Región de Ñuble
4,Universidad Adventista de Chile,13,6,83,17,2.2,2018,Región de Ñuble
5,Universidad de Concepción,66,95,57,43,0.7,2018,Región de Ñuble
6,Universidad de Magallanes,5,3,67,33,1.7,2018,Región de Ñuble
7,Universidad del Bío Bío,99,109,70,30,0.9,2018,Región de Ñuble
8,Universidad Pedro de Valdivia,1,1,100,0,1.0,2018,Región de Ñuble
9,Centro de Recursos Hidricos para la Agricultura y la Mineria,1,3,100,0,0.3,2018,Región de Ñuble
10,Instituto de Investigaciones Agropecuarias,17,13,85,15,1.3,2018,Región de Ñuble
0,Hospital Regional de Rancagua,4,5,0,100,0.8,2019,Región del Libertador General Bernardo O'Higgins
1,Centro de Estudios Avanzados en Fruticultura,6,8,63,38,0.8,2019,Región del Libertador General Bernardo O'Higgins
2,Universidad de O`Higgins,64,47,76,24,1.4,2019,Región del Libertador General Bernardo O'Higgins
0,Hospital Regional de Talca,1,1,100,0,1.0,2019,Región del Maule
1,Universidad Autónoma de Chile,109,51,70,30,2.1,2019,Región del Maule
2,Universidad Católica del Maule,211,227,65,35,0.9,2019,Región del Maule
3,Universidad de Concepción,2,2,100,0,1.0,2019,Región del Maule
4,Universidad de Talca,421,487,74,26,0.9,2019,Región del Maule
5,Universidad Santo Tomás,12,12,73,27,1.0,2019,Región del Maule
6,Centro de Estudios Avanzados en Fruticultura,2,2,50,50,1.0,2019,Región del Maule
7,Núcleo Milenio de Enfermedades asociadas a Canales Iónicos,1,1,100,0,1.0,2019,Región del Maule
8,Centro de Estudios en Alimentos Procesados,3,6,67,33,0.5,2019,Región del Maule
0,Bioforest SA,9,9,100,0,1.0,2019,Región del Biobío
1,Clínica Alemana,6,9,100,0,0.7,2019,Región del Biobío
2,Clínica Sanatorio Alemán,2,2,100,0,1.0,2019,Región del Biobío
3,Forestal Mininco SA,1,1,0,100,1.0,2019,Región del Biobío
4,Hospital Guillermo Grant Benavente,9,12,73,27,0.8,2019,Región del Biobío
5,Hospital Las Higueras,10,20,73,27,0.5,2019,Región del Biobío
6,Hospital Regional de Concepción,8,19,81,19,0.4,2019,Región del Biobío
7,Inst Forestal INFOR,1,4,100,0,0.3,2019,Región del Biobío
8,Inst Invest Pesquera INPESCA,1,1,100,0,1.0,2019,Región del Biobío
9,Universidad Austral de Chile,1,1,100,0,1.0,2019,Región del Biobío
10,Universidad Católica de la Santísima Concepción,251,201,71,29,1.2,2019,Región del Biobío
11,Universidad de Concepción,1224,1725,65,35,0.7,2019,Región del Biobío
12,Universidad de las Américas,1,1,0,100,1.0,2019,Región del Biobío
13,Universidad del Bío Bío,182,199,76,24,0.9,2019,Región del Biobío
14,Universidad del Desarrollo,41,46,72,28,0.9,2019,Región del Biobío
15,Universidad Nacional Andrés Bello,29,26,48,52,1.1,2019,Región del Biobío
16,Universidad San Sebastián,82,73,60,40,1.1,2019,Región del Biobío
17,Universidad Santo Tomás,7,5,80,20,1.4,2019,Región del Biobío
18,Universidad Técnica Federico Santa María,5,5,67,33,1.0,2019,Región del Biobío
19,Centro de Investigacion de Polimeros Avanzados,11,10,60,40,1.1,2019,Región del Biobío
20,Centro de Recursos Hidricos para la Agricultura y la Mineria,3,4,75,25,0.8,2019,Región del Biobío
21,Centro de Ciencia del Clima y la Resiliencia,1,1,0,100,1.0,2019,Región del Biobío
22,Comision Nacional de Investigacion Cientifica y Tecnologica,1,1,100,0,1.0,2019,Región del Biobío
23,Instituto de Ecologia y Biodiversidad,3,5,60,40,0.6,2019,Región del Biobío
24,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,21,38,68,32,0.6,2019,Región del Biobío
25,Instituto Milenio de Oceanografía,3,5,75,25,0.6,2019,Región del Biobío
26,Núcleo Milenio de Salmónidos Invasores,29,11,73,27,2.6,2019,Región del Biobío
27,Núcleo Milenio el Ciclo Sísmico a lo largo de Zonas de Subducción,1,1,0,0,1.0,2019,Región del Biobío
0,Corp Nacl Forestal,2,2,0,100,1.0,2019,Región de Ñuble
1,Hospital Clínico Herminda Martin,1,2,0,100,0.5,2019,Región de Ñuble
2,Instituto de Investigaciones Agropecuarias,8,9,67,33,0.9,2019,Región de Ñuble
3,Servicio Agrícola y Ganadero,1,1,0,0,1.0,2019,Región de Ñuble
4,Universidad Adventista de Chile,17,13,75,25,1.3,2019,Región de Ñuble
5,Universidad de Concepción,74,149,64,36,0.5,2019,Región de Ñuble
6,Universidad del Bío Bío,92,103,65,35,0.9,2019,Región de Ñuble
7,Centro de Recursos Hidricos para la Agricultura y la Mineria,1,2,50,50,0.5,2019,Región de Ñuble
8,Instituto de Investigaciones Agropecuarias,15,24,82,18,0.6,2019,Región de Ñuble
0,Centro de Estudios Avanzados en Fruticultura,1,4,75,25,0.3,2020,Región del Libertador General Bernardo O'Higgins
1,Instituto de Investigaciones Agropecuarias,2,2,100,0,1.0,2020,Región del Libertador General Bernardo O'Higgins
2,Universidad de O`Higgins,17,20,67,33,0.9,2020,Región del Libertador General Bernardo O'Higgins
0,Hospital Regional de Talca,1,1,100,0,1.0,2020,Región del Maule
1,Universidad Autónoma de Chile,39,26,77,23,1.5,2020,Región del Maule
2,Universidad Católica del Maule,63,73,78,22,0.9,2020,Región del Maule
3,Universidad Católica del Norte,1,1,100,0,1.0,2020,Región del Maule
4,Universidad de Talca,145,196,77,23,0.7,2020,Región del Maule
5,Universidad Santo Tomás,4,8,50,50,0.5,2020,Región del Maule
0,Bioforest SA,2,5,100,0,0.4,2020,Región del Biobío
1,Clínica Alemana,6,6,17,83,1.0,2020,Región del Biobío
2,Clínica Sanatorio Alemán,2,7,40,60,0.3,2020,Región del Biobío
3,Forestal Mininco SA,1,2,50,50,0.5,2020,Región del Biobío
4,Hospital Guillermo Grant Benavente,1,2,0,100,0.5,2020,Región del Biobío
5,Hospital Las Higueras,4,13,88,13,0.3,2020,Región del Biobío
6,Inst Forestal INFOR,3,4,50,50,0.8,2020,Región del Biobío
7,Inst Invest Pesquera INPESCA,2,1,100,0,2.0,2020,Región del Biobío
8,Universidad Católica de la Santísima Concepción,95,91,73,27,1.0,2020,Región del Biobío
9,Universidad de Concepción,396,649,68,32,0.6,2020,Región del Biobío
10,Universidad del Bío Bío,74,88,78,22,0.8,2020,Región del Biobío
11,Universidad del Desarrollo,17,18,67,33,0.9,2020,Región del Biobío
12,Universidad Nacional Andrés Bello,15,20,59,41,0.8,2020,Región del Biobío
13,Universidad San Sebastián,32,34,53,47,0.9,2020,Región del Biobío
14,Universidad Santo Tomás,1,1,100,0,1.0,2020,Región del Biobío
15,Centro de Investigacion de Polimeros Avanzados,12,9,50,50,1.3,2020,Región del Biobío
16,Centro de Investigacion en Ecosistemas de la Patagonia,1,1,0,0,1.0,2020,Región del Biobío
17,Centro de Recursos Hidricos para la Agricultura y la Mineria,5,4,100,0,1.3,2020,Región del Biobío
18,Instituto de Ecologia y Biodiversidad,1,1,100,0,1.0,2020,Región del Biobío
19,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,2,4,100,0,0.5,2020,Región del Biobío
20,Instituto Milenio de Oceanografía,4,7,57,43,0.6,2020,Región del Biobío
21,Núcleo Milenio de Salmónidos Invasores,2,6,50,50,0.3,2020,Región del Biobío
0,Instituto de Investigaciones Agropecuarias,4,7,57,43,0.6,2020,Región de Ñuble
1,Universidad Adventista de Chile,6,6,60,40,1.0,2020,Región de Ñuble
2,Universidad de Concepción,34,74,56,44,0.5,2020,Región de Ñuble
3,Universidad del Bío Bío,41,51,67,33,0.8,2020,Región de Ñuble
4,Universidad Pedro de Valdivia,1,1,0,100,1.0,2020,Región de Ñuble
5,Instituto de Investigaciones Agropecuarias,6,19,76,24,0.3,2020,Región de Ñuble
