,Institución,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año,region
2,Instituto de Investigaciones Agropecuarias,1,1,100,0,1.0,2010,Región del Libertador General Bernardo O'Higgins
3,Centro de Salud Familiar Mostazal,4,7,100,0,0.6,2010,Región del Libertador General Bernardo O'Higgins
0,Hospital Regional de Talca,1,1,0,0,1.0,2010,Región del Maule
1,Universidad Autónoma de Chile,6,7,43,57,0.9,2010,Región del Maule
2,Universidad Católica del Maule,28,33,76,24,0.8,2010,Región del Maule
3,Universidad de Concepción,1,2,50,50,0.5,2010,Región del Maule
4,Universidad de Talca,145,190,68,32,0.8,2010,Región del Maule
5,Universidad del Bío Bío,1,1,100,0,1.0,2010,Región del Maule
6,Universidad Metropolitana de Ciencias de la Educación,1,1,100,0,1.0,2010,Región del Maule
7,Universidad Santo Tomás,2,2,100,0,1.0,2010,Región del Maule
8,Centro de Salud Familiar,1,1,100,0,1.0,2010,Región del Maule
9,Instituto de Investigaciones Agropecuarias,2,2,100,0,1.0,2010,Región del Maule
10,Servicio de Salud del Maule,1,1,0,100,1.0,2010,Región del Maule
0,Bioforest SA,3,6,83,17,0.5,2010,Región del Biobío
1,Clínica Sanatorio Alemán,2,8,63,38,0.3,2010,Región del Biobío
2,Centro de investigación Oceanográfica en el Pacífico Sur Oriental,1,2,100,0,0.5,2010,Región del Biobío
3,Ctr Sangre Concepc,1,2,0,100,0.5,2010,Región del Biobío
4,Hospital Guillermo Grant Benavente,4,6,50,50,0.7,2010,Región del Biobío
5,Hospital Regional de Concepción,4,9,63,38,0.4,2010,Región del Biobío
6,Inst Invest Pesquera INPESCA,2,2,100,0,1.0,2010,Región del Biobío
7,Ministerio de Obras Públicas,1,1,100,0,1.0,2010,Región del Biobío
8,Pontificia Universidad Católica de Chile,1,1,100,0,1.0,2010,Región del Biobío
9,Universidad Católica de la Santísima Concepción,38,41,60,40,0.9,2010,Región del Biobío
10,Universidad de Concepción,726,875,65,35,0.8,2010,Región del Biobío
11,Universidad de Santiago de Chile,1,1,100,0,1.0,2010,Región del Biobío
12,Universidad del Bío Bío,32,36,81,19,0.9,2010,Región del Biobío
13,Universidad del Desarrollo,2,3,100,0,0.7,2010,Región del Biobío
