,Institución,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
3,Corp Nacl Forestal,1,1,0,100,1.0,2018
4,Forestal Mininco SA,1,1,100,0,1.0,2018
5,Hospital Clínico Herminda Martin,1,3,0,100,0.3,2018
6,Hospital Guillermo Grant Benavente,4,7,86,14,0.6,2018
7,Hospital Las Higueras,5,3,67,33,1.7,2018
8,Hospital Regional de Concepción,6,14,82,18,0.4,2018
9,Hospital Regional de Rancagua,2,2,0,100,1.0,2018
10,Hospital Regional de Talca,9,14,64,36,0.6,2018
11,Instituto de Investigaciones Agropecuarias,8,8,75,25,1.0,2018
12,Inst Forestal INFOR,2,4,100,0,0.5,2018
13,Servicio Agrícola y Ganadero,2,2,100,0,1.0,2018
14,Universidad Adventista de Chile,13,6,83,17,2.2,2018
15,Universidad Autónoma de Chile,105,46,81,19,2.3,2018
16,Universidad Católica de la Santísima Concepción,186,149,71,29,1.2,2018
17,Universidad Católica del Maule,132,154,69,31,0.9,2018
18,Universidad de Concepción,1207,1544,65,35,0.8,2018
19,Universidad de las Américas,1,1,100,0,1.0,2018
20,Universidad de Magallanes,5,3,67,33,1.7,2018
21,Universidad de Talca,369,420,76,24,0.9,2018
22,Universidad del Bío Bío,276,314,74,26,0.9,2018
23,Universidad del Desarrollo,66,80,60,40,0.8,2018
24,Universidad Nacional Andrés Bello,27,32,57,43,0.8,2018
25,Universidad Pedro de Valdivia,1,1,100,0,1.0,2018
26,Universidad San Sebastián,73,50,61,39,1.5,2018
27,Universidad Santo Tomás,15,14,71,29,1.1,2018
28,Universidad Técnica Federico Santa María,2,4,100,0,0.5,2018
29,Astilleros y Maestranza de La Armada,1,2,100,0,0.5,2018
30,Centro de Estudios Avanzados en Fruticultura,5,11,75,25,0.5,2018
31,Centro de Investigacion de Polimeros Avanzados,12,8,50,50,1.5,2018
32,Centro de Recursos Hidricos para la Agricultura y la Mineria,3,7,86,14,0.4,2018
33,Centro de Ciencia del Clima y la Resiliencia,1,1,0,100,1.0,2018
34,Instituto de Ecologia y Biodiversidad,2,2,100,0,1.0,2018
35,Instituto de Investigaciones Agropecuarias,19,15,80,20,1.3,2018
36,Universidad de O`Higgins,36,29,79,21,1.2,2018
37,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,19,31,74,26,0.6,2018
38,Instituto Milenio de Investigación sobre los Fundamentos de los Datos,1,1,0,100,1.0,2018
39,Instituto Milenio de Oceanografía,8,10,80,20,0.8,2018
40,Núcleo Milenio de Enfermedades asociadas a Canales Iónicos,1,1,0,100,1.0,2018
41,Núcleo Milenio de Salmónidos Invasores,26,20,79,21,1.3,2018
42,Núcleo Milenio el Ciclo Sísmico a lo largo de Zonas de Subducción,12,3,100,0,4.0,2018
43,Núcleo Milenio de Investigación en Economía Ambiental y Recursos Naturales,1,2,100,0,0.5,2018
44,Centro de Estudios en Alimentos Procesados,2,2,100,0,1.0,2018
0,Bioforest SA,9,9,100,0,1.0,2019
1,Clínica Alemana,6,9,100,0,0.7,2019
2,Clínica Sanatorio Alemán,2,2,100,0,1.0,2019
3,Corp Nacl Forestal,2,2,0,100,1.0,2019
4,Forestal Mininco SA,1,1,0,100,1.0,2019
5,Hospital Clínico Herminda Martin,1,2,0,100,0.5,2019
6,Hospital Guillermo Grant Benavente,9,12,73,27,0.8,2019
7,Hospital Las Higueras,10,20,73,27,0.5,2019
8,Hospital Regional de Concepción,8,19,81,19,0.4,2019
9,Hospital Regional de Rancagua,4,5,0,100,0.8,2019
10,Hospital Regional de Talca,1,1,100,0,1.0,2019
11,Instituto de Investigaciones Agropecuarias,8,9,67,33,0.9,2019
12,Inst Forestal INFOR,1,4,100,0,0.3,2019
13,Inst Invest Pesquera INPESCA,1,1,100,0,1.0,2019
14,Servicio Agrícola y Ganadero,1,1,0,0,1.0,2019
15,Universidad Adventista de Chile,17,13,75,25,1.3,2019
16,Universidad Austral de Chile,1,1,100,0,1.0,2019
17,Universidad Autónoma de Chile,109,51,70,30,2.1,2019
18,Universidad Católica de la Santísima Concepción,251,201,71,29,1.2,2019
19,Universidad Católica del Maule,211,227,65,35,0.9,2019
20,Universidad de Concepción,1289,1862,65,35,0.7,2019
21,Universidad de las Américas,1,1,0,100,1.0,2019
22,Universidad de Talca,421,487,74,26,0.9,2019
23,Universidad del Bío Bío,271,300,72,28,0.9,2019
24,Universidad del Desarrollo,41,46,72,28,0.9,2019
25,Universidad Nacional Andrés Bello,29,26,48,52,1.1,2019
26,Universidad San Sebastián,82,73,60,40,1.1,2019
27,Universidad Santo Tomás,19,17,75,25,1.1,2019
28,Universidad Técnica Federico Santa María,5,5,67,33,1.0,2019
29,Centro de Estudios Avanzados en Fruticultura,8,10,60,40,0.8,2019
30,Centro de Investigacion de Polimeros Avanzados,11,10,60,40,1.1,2019
31,Centro de Recursos Hidricos para la Agricultura y la Mineria,4,6,67,33,0.7,2019
32,Centro de Ciencia del Clima y la Resiliencia,1,1,0,100,1.0,2019
33,Comision Nacional de Investigacion Cientifica y Tecnologica,1,1,100,0,1.0,2019
34,Instituto de Ecologia y Biodiversidad,3,5,60,40,0.6,2019
35,Instituto de Investigaciones Agropecuarias,15,24,82,18,0.6,2019
36,Universidad de O`Higgins,64,47,76,24,1.4,2019
37,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,21,38,68,32,0.6,2019
38,Instituto Milenio de Oceanografía,3,5,75,25,0.6,2019
39,Núcleo Milenio de Enfermedades asociadas a Canales Iónicos,1,1,100,0,1.0,2019
40,Núcleo Milenio de Salmónidos Invasores,29,11,73,27,2.6,2019
41,Núcleo Milenio el Ciclo Sísmico a lo largo de Zonas de Subducción,1,1,0,0,1.0,2019
42,Centro de Estudios en Alimentos Procesados,3,6,67,33,0.5,2019
0,Bioforest SA,2,5,100,0,0.4,2020
1,Clínica Alemana,6,6,17,83,1.0,2020
2,Clínica Sanatorio Alemán,2,7,40,60,0.3,2020
3,Forestal Mininco SA,1,2,50,50,0.5,2020
4,Hospital Guillermo Grant Benavente,1,2,0,100,0.5,2020
5,Hospital Las Higueras,4,13,88,13,0.3,2020
6,Hospital Regional de Talca,1,1,100,0,1.0,2020
7,Instituto de Investigaciones Agropecuarias,4,7,57,43,0.6,2020
8,Inst Forestal INFOR,3,4,50,50,0.8,2020
9,Inst Invest Pesquera INPESCA,2,1,100,0,2.0,2020
10,Universidad Adventista de Chile,6,6,60,40,1.0,2020
11,Universidad Autónoma de Chile,39,26,77,23,1.5,2020
12,Universidad Católica de la Santísima Concepción,95,91,73,27,1.0,2020
13,Universidad Católica del Maule,63,73,78,22,0.9,2020
14,Universidad Católica del Norte,1,1,100,0,1.0,2020
15,Universidad de Concepción,425,721,67,33,0.6,2020
16,Universidad de Talca,145,196,77,23,0.7,2020
17,Universidad del Bío Bío,113,139,74,26,0.8,2020
18,Universidad del Desarrollo,17,18,67,33,0.9,2020
19,Universidad Nacional Andrés Bello,15,20,59,41,0.8,2020
20,Universidad Pedro de Valdivia,1,1,0,100,1.0,2020
21,Universidad San Sebastián,32,34,53,47,0.9,2020
22,Universidad Santo Tomás,4,8,50,50,0.5,2020
23,Centro de Estudios Avanzados en Fruticultura,1,4,75,25,0.3,2020
24,Centro de Investigacion de Polimeros Avanzados,12,9,50,50,1.3,2020
25,Centro de Investigacion en Ecosistemas de la Patagonia,1,1,0,0,1.0,2020
26,Centro de Recursos Hidricos para la Agricultura y la Mineria,5,4,100,0,1.3,2020
27,Instituto de Ecologia y Biodiversidad,1,1,100,0,1.0,2020
28,Instituto de Investigaciones Agropecuarias,7,21,79,21,0.3,2020
29,Universidad de O`Higgins,17,20,67,33,0.9,2020
30,Centro Interdisciplinario de Investigación en Acuicultura Sustentable,2,4,100,0,0.5,2020
31,Instituto Milenio de Oceanografía,4,7,57,43,0.6,2020
32,Núcleo Milenio de Salmónidos Invasores,2,6,50,50,0.3,2020
